question,answer,tech_accuracy,confidence
Explain the concept of REST APIs.,It's an API that lets you download data. ,34,60
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",79,80
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",91,86
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",97,100
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",68,27
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",97,82
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",59,55
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",53,64
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,94,100
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,17,56
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",38,34
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",49,26
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",64,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",63,44
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",86,91
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",92,98
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",44,66
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,29,55
What is normalization in a database?,It makes the database normal and easy to read. ,33,63
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",56,49
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,100,74
Explain the concept of REST APIs.,It's an API that lets you download data. ,38,74
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,85,79
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",53,45
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,26,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",57,56
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",62,53
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",56,45
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,91,64
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",59,49
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,86,89
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",86,85
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",74,65
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",71,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",97,70
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,30,22
What is normalization in a database?,It makes the database normal and easy to read. ,37,25
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",64,12
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",51,60
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",90,88
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",82,96
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,27,55
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",62,62
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",50,33
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",48,59
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",95,76
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",51,52
